,timesteps,ep_reward,num_updates,episodes
173,200,-345.7756817451179,0,173
174,16,-26.569535996579997,0,174
175,44,-69.51800630850082,0,175
176,200,-329.2969750133297,0,176
177,132,-222.94872609424093,0,177
178,107,-191.38191484420503,0,178
179,22,-41.83477260619276,0,179
180,15,-27.113453881504064,0,180
181,21,-37.147938723440504,0,181
182,16,-28.061028322577645,0,182
183,127,-216.92629990330732,1,183
184,24,-37.43015893988579,0,184
185,23,-40.5906402646682,0,185
186,22,-39.41614696763898,0,186
187,21,-38.65602510850077,0,187
188,200,-351.96327936709963,0,188
189,17,-29.628757084531806,0,189
190,164,-294.4997092840562,0,190
191,90,-167.62227982568527,0,191
192,18,-29.83715733275819,0,192
193,41,-56.91359409816232,0,193
194,26,-41.46711776460373,0,194
195,21,-35.33634773307112,0,195
196,29,-60.80108426383688,0,196
197,18,-32.82257394596138,0,197
198,16,-26.231796433655358,0,198
199,19,-31.429278293890412,0,199
200,26,-38.87251173959677,0,200
